uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
11392,66045832,66045832,733540,733540,64.39080056,11392,100340736,100340736,1113120,1113120,97.71067416,11392,69494760,69494760,752916,752916,66.09164326
11456,66783468,66783468,737636,737636,64.38861732,11456,101460064,101460064,1119328,1119328,97.70670391,11456,70251772,70251772,757012,757012,66.0799581
11520,67525200,67525200,741732,741732,64.38645833,11520,102585600,102585600,1125536,1125536,97.70277778,11520,71012880,71012880,761108,761108,66.06840278
11584,68271028,68271028,745828,745828,64.3843232,11584,103717344,103717344,1131744,1131744,97.69889503,11584,71778084,71778084,765204,765204,66.05697514
11648,69020952,69020952,749924,749924,64.38221154,11648,104855296,104855296,1137952,1137952,97.69505495,11648,72547384,72547384,769300,769300,66.04567308
11712,69774972,69774972,754020,754020,64.38012295,11712,105999456,105999456,1144160,1144160,97.69125683,11712,73320780,73320780,773396,773396,66.03449454
11776,70533088,70533088,758116,758116,64.37805707,11776,107149824,107149824,1150368,1150368,97.6875,11776,74098272,74098272,777492,777492,66.0234375
11840,71295300,71295300,762212,762212,64.37601351,11840,108306400,108306400,1156576,1156576,97.68378378,11840,74879860,74879860,781588,781588,66.0125
11904,72061608,72061608,766308,766308,64.37399194,11904,109469184,109469184,1162784,1162784,97.68010753,11904,75665544,75665544,785684,785684,66.00168011
11968,72832012,72832012,770404,770404,64.37199198,11968,110638176,110638176,1168992,1168992,97.67647059,11968,76455324,76455324,789780,789780,65.99097594
12032,73606512,73606512,774500,774500,64.3700133,12032,111813376,111813376,1175200,1175200,97.67287234,12032,77249200,77249200,793876,793876,65.98038564
12096,74385108,74385108,778596,778596,64.36805556,12096,112994784,112994784,1181408,1181408,97.66931217,12096,78047172,78047172,797972,797972,65.96990741
12160,75167800,75167800,782692,782692,64.36611842,12160,114182400,114182400,1187616,1187616,97.66578947,12160,78849240,78849240,802068,802068,65.95953947
12224,75954588,75954588,786788,786788,64.36420157,12224,115376224,115376224,1193824,1193824,97.66230366,12224,79655404,79655404,806164,806164,65.9492801
